address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Apartment
"Holland Road, Kensington",W14,2,1,700.0,Flat
"Holland Road, Kensington",W14,2,1,700.0,Apartment
